EANHotelID	SequenceNumber	Name	Address1	Address2	City	StateProvince	PostalCode	Country	Latitude	Longitude	AirportCode	PropertyCategory	PropertyCurrency	StarRating	Confidence	SupplierType	Location	ChainCodeID	RegionID	HighRate	LowRate	CheckInTime	CheckOutTime
143399	753	Be Live Family Lanzarote Resort	"Av. del Mar, s/n"	Costa Teguise	Teguise		35509	ES	28.98654	-13.5106	ACE	1	EUR	4	52	ESR	In Teguise (Costa Teguise)		5741	119.2747	91.0835		
125733	754	Hotel Veneto Palace	Via Piemonte 63		Rome		187	IT	41.90861	12.49339	FCO	1	EUR	4	52	ESR	Near Borghese Gallery		3023	688.18	206.46		
194955	758	Towers Rotana - Dubai	Sheikh Zayed Road		Dubai		30430	AE	25.21274	55.27556	DXB	1	AED	4	52	ESR	In Dubai (Trade Centre 1)	2681	6053839	313.2632	136.1322		
233043	761	Point Hotel Taksim	Topcu Caddesi No.2 Taksim		Istanbul		34437	TR	41.04052	28.98558	IST	1	TRY	5	93	ESR	Near Taksim Square		1639	412.31	136.95		
168099	763	Best Western Mornington Hotel	12 Lancaster Gate		London		W2 3LG	GB	51.51188	-0.17828	LHR	1	GBP	4	90	ESR	Near Whiteleys Shopping Centre	17	2114	445.083	164.6192		
215791	766	New Orly	Gabrielenstr. 6		Munich		80636	DE	48.1491	11.53894	MUC	1	EUR	4	52	ESR	In Munich (Neuhausen - Nymphenburg)		2452	212.044	138.7192		
196167	768	Saint Patrick's Hotel	29 Marina Street	Xlendi Bay	Munxar		VCT 115	MT	36.0304	14.21804	MLA	1	EUR	4	52	ESR	In Munxar (Gozo)		602230	105.03	75.32		
410334	769	Chateau Royal Beach Resort and Spa	140 Promenade Roger Laroque	BP 18716	Noumea		98807	NC	-22.30924	166.45017	NOU	1	XPF	4	52	ESR	Near Aquarium des Lagons		2590	307.31	262.9		
256908	770	Grace Bay Club	Grace Bay Circle Road	P.O. Box 128 Grace Bay	Providenciales			TC	21.78235	-72.20636	PLS	3	USD	5	52	ESR	Near Salt Mills Plaza		2822	1450	630		
217267	771	Coyaba Beach Resort & Club	Little River		Montego Bay			JM	18.51991	-77.87222	MBJ	3	USD	4	52	ESR	In Montego Bay (Rose Hall)		2222	540	206.88		
125635	772	Golden Tulip Accra	Liberation Road		Accra		16033	GH	5.59344	-0.18045	ACC	1	GHS	4	52	ESR	Near Accra Mall	213	6297295	795.17	267.18		
207033	774	Hotel Petit Palace Museum	Diputacio 250		Barcelona		8007	ES	41.38903	2.16517	BCN	1	EUR	4	88	ESR	Near Bulevard Rosa	2238	513	290.5	190.84		
367111	776	Gloria Hotel and Hotel Apartments	Sheikh Zayed Road		Dubai		502222	AE	25.10295	55.17172	DXB	1	AED	4	52	ESR	Near Wild Wadi Water Park		6053839	353.938	134.7646		
121059	777	"Radisson Blu Hotel, Nice"	223 Promenade Des Anglais		Nice		6200	FR	43.68429	7.23527	NCE	1	EUR	4	52	ESR	In Nice (Les Baumettes)	2431	2526	719.8894	242.7904		
107642	779	Marriott London Marble Arch	134 George Street		London		W1H 5DN	GB	51.51637	-0.16407	LHR	1	GBP	4	40	ESR	Near Selfridges	86	2114	554.58	248.76		
107090	783	Crowne Plaza London - Kensington	100 Cromwell Road		London		SW7 4ER	GB	51.49499	-0.1834	LHR	1	GBP	4	40	ESR	Near Kensington Roof Gardens	256	2114	390.6931	181.4455		
112771	784	"FireSky Resort & Spa, a Kimpton Hotel"	4925 N Scottsdale Road		Scottsdale	AZ	85251	US	33.50824	-111.92599	PHX	3	USD	4	5	ESR	Near Scottsdale Fashion Square	225	9829	239	199		
